InvoiceNo,InvoiceDate,Total,CustomerId,Products
568999,2024-12-30T14:09:35.160Z,53615,75509,ALL
569000,2024-12-30T14:07:42.739Z,17846,61353,ALL
569001,2024-12-30T17:17:32.365Z,17846,108871,ALL
569002,2024-12-30T14:20:39.366Z,17846,118995,ALL
569004,2025-01-07T11:29:49.539Z,20096,117953,ALL
569006,2024-12-30T14:22:47.995Z,16016,54498,ALL
569007,2024-12-30T14:23:21.963Z,11951,110795,ALL
569012,2024-12-30T14:30:21.971Z,17846,104335,ALL
569013,2025-01-02T21:35:38.950Z,25975,102838,ALL
569014,2024-12-30T17:08:28.958Z,17846,119093,ALL
569016,2024-12-30T14:38:30.189Z,17846,111626,ALL
569018,2024-12-30T14:42:40.612Z,17846,115728,ALL
569030,2024-12-30T14:52:04.415Z,17846,119008,ALL
569041,2024-12-30T14:41:31.518Z,17846,115601,ALL
569045,2024-12-30T14:41:53.253Z,17846,60647,ALL
569047,2024-12-30T14:40:21.991Z,24389,118996,ALL
569054,2024-12-30T14:41:25.448Z,17846,109641,ALL
569074,2024-12-30T14:46:06.727Z,17846,83908,ALL
569090,2024-12-30T14:43:45.161Z,17846,118999,ALL
569099,2024-12-30T14:44:55.913Z,17846,119001,ALL
569100,2024-12-30T14:48:50.818Z,17846,119005,ALL
569102,2024-12-30T21:11:46.344Z,17846,119180,ALL
569113,2024-12-30T14:49:04.651Z,17846,110964,ALL
569116,2024-12-30T14:45:57.929Z,17846,119000,ALL
569127,2024-12-30T14:44:50.186Z,17846,27328,ALL
569128,2024-12-30T14:49:17.442Z,17846,119006,ALL
569130,2024-12-30T14:49:53.056Z,17846,104386,ALL
569135,2024-12-30T14:59:50.732Z,17846,114918,ALL
569137,2024-12-30T14:47:06.696Z,17846,119003,ALL
569138,2024-12-30T14:47:02.965Z,17846,119002,ALL
569148,2024-12-30T14:50:39.145Z,17846,80988,ALL
569154,2024-12-31T11:16:49.811Z,17846,119273,ALL
569159,2024-12-30T14:47:00.142Z,17846,118998,ALL
569161,2024-12-30T14:54:28.471Z,17846,106325,ALL
569162,2024-12-30T14:47:48.302Z,-34997,39999,ALL
569164,2024-12-30T18:11:13.269Z,17846,119111,ALL
569166,2024-12-30T14:49:19.575Z,17846,119007,ALL
569175,2024-12-30T14:48:34.726Z,17846,28095,ALL
569184,2024-12-30T14:52:08.423Z,17846,119010,ALL
569186,2024-12-30T14:50:05.986Z,17846,119009,ALL
569201,2024-12-30T15:01:49.665Z,17846,119018,ALL
569210,2024-12-30T15:28:29.295Z,17846,105505,ALL
569211,2024-12-30T14:57:44.024Z,17846,119012,ALL
569212,2024-12-31T20:20:04.222Z,17846,119344,ALL
569213,2024-12-30T15:05:29.432Z,17846,119013,ALL
569214,2024-12-30T14:53:29.638Z,17846,13188,ALL
569215,2024-12-30T14:55:36.078Z,17846,119011,ALL
569216,2024-12-30T14:55:17.596Z,19879,115772,ALL
569218,2024-12-30T15:02:53.806Z,30040,119020,ALL
569219,2025-01-01T16:39:06.322Z,17846,42813,ALL
569221,2024-12-30T14:56:06.060Z,17846,104892,ALL
